SERIAL_NUMBER,LOCAL_CODE,LOCAL_NAME,YEAR,POPULATION,POPULATION_BIRTH,POPULATION_DEATH,POPULATION_DEATH_U1,GDP,GDP_PC,SANITATION,BIRTH_RATE,IMR,CMR,AGE,POPULATION_TARGET,INDICATOR,FL_DROPOUT,NU_DOSE_FIRST,NU_DOSE_FINAL,NU_DROPOUT,PC_DROPOUT,PC_COVERAGE,FL_GOAL,CAT_GOAL,MHDI_E_CATEGORY,MHDI_L_CATEGORY,MHDI_I_CATEGORY
10397,351990,Iepê,2020,8194,81,0,0,250827.425,30742.42248,3.83,9.8853,0,0,0-1 year,81,FL_U1_BCG,0,,81,,,100,1,3,satisfactory,high,satisfactory
10398,351990,Iepê,2021,8228,97,87,2,250827.425,30742.42248,3.83,11.789,20.6186,10.5737,0-1 year,97,FL_U1_BCG,0,,87,,,89.69,0,2,satisfactory,high,satisfactory
10399,352000,Igaraçu do Tietê,2019,24674,279,0,0,326750.169,13242.69146,0,11.3074,0,0,0-1 year,279,FL_U1_BCG,0,,286,,,102.51,1,3,satisfactory,high,satisfactory
10400,352000,Igaraçu do Tietê,2020,24749,259,205,2,326750.169,13242.69146,0,10.4651,7.722,8.2832,0-1 year,259,FL_U1_BCG,0,,136,,,52.51,0,2,satisfactory,high,satisfactory
10401,352000,Igaraçu do Tietê,2021,24821,231,258,2,326750.169,13242.69146,0,9.3066,8.658,10.3944,0-1 year,231,FL_U1_BCG,0,,157,,,67.97,0,2,satisfactory,high,satisfactory
10402,352010,Igarapava,2019,30432,294,225,5,1210194.64,39767.17403,0.24,9.6609,17.0068,7.3935,0-1 year,294,FL_U1_BCG,0,,323,,,109.86,1,3,satisfactory,high,high
10403,352010,Igarapava,2020,30614,285,259,4,1210194.64,39767.17403,0.24,9.3095,14.0351,8.4602,0-1 year,285,FL_U1_BCG,0,,36,,,12.63,0,1,satisfactory,high,high
10404,352010,Igarapava,2021,30791,282,287,5,1210194.64,39767.17403,0.24,9.1585,17.7305,9.3209,0-1 year,282,FL_U1_BCG,0,,144,,,51.06,0,2,satisfactory,high,high
10405,352020,Igaratá,2019,9534,139,84,1,209302.991,21953.324,6.36,14.5794,7.1942,8.8106,0-1 year,139,FL_U1_BCG,0,,97,,,69.78,0,2,satisfactory,high,satisfactory
10406,352020,Igaratá,2020,9583,142,82,1,209302.991,21953.324,6.36,14.8179,7.0423,8.5568,0-1 year,142,FL_U1_BCG,0,,10,,,7.04,0,1,satisfactory,high,satisfactory
10407,352020,Igaratá,2021,9631,137,123,1,209302.991,21953.324,6.36,14.2249,7.2993,12.7713,0-1 year,137,FL_U1_BCG,0,,13,,,9.49,0,1,satisfactory,high,satisfactory
10408,352030,Iguape,2019,30857,330,245,1,1256136.976,40708.33121,4.98,10.6945,3.0303,7.9399,0-1 year,330,FL_U1_BCG,0,,216,,,65.45,0,2,satisfactory,high,satisfactory
10409,352030,Iguape,2020,30989,325,279,3,1256136.976,40708.33121,4.98,10.4876,9.2308,9.0032,0-1 year,325,FL_U1_BCG,0,,147,,,45.23,0,1,satisfactory,high,satisfactory
10410,352030,Iguape,2021,31117,298,371,4,1256136.976,40708.33121,4.98,9.5768,13.4228,11.9227,0-1 year,298,FL_U1_BCG,0,,69,,,23.15,0,1,satisfactory,high,satisfactory
10411,352040,Ilhabela,2019,34970,541,182,7,14967867.14,428020.2212,7.66,15.4704,12.939,5.2045,0-1 year,541,FL_U1_BCG,0,,587,,,108.5,1,3,satisfactory,high,satisfactory
10412,352040,Ilhabela,2020,35591,488,166,3,14967867.14,428020.2212,7.66,13.7113,6.1475,4.6641,0-1 year,488,FL_U1_BCG,0,,410,,,84.02,0,2,satisfactory,high,satisfactory
10413,352040,Ilhabela,2021,36194,458,181,10,14967867.14,428020.2212,7.66,12.654,21.8341,5.0008,0-1 year,458,FL_U1_BCG,0,,543,,,118.56,1,3,satisfactory,high,satisfactory
10414,352042,Ilha Comprida,2019,11166,150,121,3,1045474.68,93630.18807,0.48,13.4336,20,10.8365,0-1 year,150,FL_U1_BCG,0,,148,,,98.67,1,3,satisfactory,high,satisfactory
10415,352042,Ilha Comprida,2020,11362,145,109,2,1045474.68,93630.18807,0.48,12.7618,13.7931,9.5934,0-1 year,145,FL_U1_BCG,0,,31,,,21.38,0,1,satisfactory,high,satisfactory
10416,352042,Ilha Comprida,2021,11552,111,178,1,1045474.68,93630.18807,0.48,9.6087,9.009,15.4086,0-1 year,111,FL_U1_BCG,0,,36,,,32.43,0,1,satisfactory,high,satisfactory
10417,352044,Ilha Solteira,2019,26686,255,210,3,649512.587,24339.07618,0.11,9.5556,11.7647,7.8693,0-1 year,255,FL_U1_BCG,0,,140,,,54.9,0,2,high,high,high
10418,352044,Ilha Solteira,2020,26788,225,225,3,649512.587,24339.07618,0.11,8.3993,13.3333,8.3993,0-1 year,225,FL_U1_BCG,0,,17,,,7.56,0,1,high,high,high
10419,352044,Ilha Solteira,2021,26886,237,289,1,649512.587,24339.07618,0.11,8.815,4.2194,10.7491,0-1 year,237,FL_U1_BCG,0,,26,,,10.97,0,1,high,high,high
10420,352050,Indaiatuba,2019,251627,3227,1332,25,16730487.27,66489.23712,0.32,12.8245,7.7471,5.2935,0-1 year,3227,FL_U1_BCG,0,,2867,,,88.84,0,2,satisfactory,high,high
10421,352050,Indaiatuba,2020,256223,3113,1704,20,16730487.27,66489.23712,0.32,12.1496,6.4247,6.6505,0-1 year,3113,FL_U1_BCG,0,,705,,,22.65,0,1,satisfactory,high,high
10422,352050,Indaiatuba,2021,260690,3100,2088,21,16730487.27,66489.23712,0.32,11.8915,6.7742,8.0095,0-1 year,3100,FL_U1_BCG,0,,1466,,,47.29,0,1,satisfactory,high,high
10423,352060,Indiana,2019,4885,56,0,0,64988.386,13303.66141,0,11.4637,0,0,0-1 year,56,FL_U1_BCG,0,,70,,,125,1,4,satisfactory,high,satisfactory
10424,352060,Indiana,2020,4879,60,0,0,64988.386,13303.66141,0,12.2976,0,0,0-1 year,60,FL_U1_BCG,0,,29,,,48.33,0,1,satisfactory,high,satisfactory
10425,352060,Indiana,2021,4873,54,55,1,64988.386,13303.66141,0,11.0815,18.5185,11.2867,0-1 year,54,FL_U1_BCG,0,,5,,,9.26,0,1,satisfactory,high,satisfactory
10426,352070,Indiaporã,2019,3897,34,0,0,91297.032,23427.51655,0.15,8.7247,0,0,0-1 year,34,FL_U1_BCG,0,,9,,,26.47,0,1,satisfactory,high,satisfactory
10427,352070,Indiaporã,2020,3886,29,0,0,91297.032,23427.51655,0.15,7.4627,0,0,0-1 year,29,FL_U1_BCG,0,,14,,,48.28,0,1,satisfactory,high,satisfactory
10428,352070,Indiaporã,2021,3876,35,0,0,91297.032,23427.51655,0.15,9.0299,0,0,0-1 year,35,FL_U1_BCG,0,,1,,,2.86,0,1,satisfactory,high,satisfactory
10429,352080,Inúbia Paulista,2019,3991,25,0,0,134511.17,33703.62566,0.07,6.2641,0,0,0-1 year,25,FL_U1_BCG,0,,7,,,28,0,1,high,high,satisfactory
10430,352080,Inúbia Paulista,2020,4019,34,30,1,134511.17,33703.62566,0.07,8.4598,29.4118,7.4645,0-1 year,34,FL_U1_BCG,0,,7,,,20.59,0,1,high,high,satisfactory
10431,352080,Inúbia Paulista,2021,4045,36,0,0,134511.17,33703.62566,0.07,8.8999,0,0,0-1 year,36,FL_U1_BCG,0,,2,,,5.56,0,1,high,high,satisfactory
10432,352090,Ipaussu,2019,14971,187,126,6,338517.329,22611.53757,0,12.4908,32.0856,8.4163,0-1 year,187,FL_U1_BCG,0,,155,,,82.89,0,2,satisfactory,high,satisfactory
10433,352090,Ipaussu,2020,15069,178,138,2,338517.329,22611.53757,0,11.8123,11.236,9.1579,0-1 year,178,FL_U1_BCG,0,,115,,,64.61,0,2,satisfactory,high,satisfactory
10434,352090,Ipaussu,2021,15165,153,169,4,338517.329,22611.53757,0,10.089,26.1438,11.1441,0-1 year,153,FL_U1_BCG,0,,63,,,41.18,0,1,satisfactory,high,satisfactory
10435,352100,Iperó,2019,37133,367,188,11,684149.339,18424.29481,1.86,9.8834,29.9728,5.0629,0-1 year,367,FL_U1_BCG,0,,66,,,17.98,0,1,satisfactory,high,satisfactory
10436,352100,Iperó,2020,37964,348,189,4,684149.339,18424.29481,1.86,9.1666,11.4943,4.9784,0-1 year,348,FL_U1_BCG,0,,14,,,4.02,0,1,satisfactory,high,satisfactory
10437,352100,Iperó,2021,38771,344,262,3,684149.339,18424.29481,1.86,8.8726,8.7209,6.7576,0-1 year,344,FL_U1_BCG,0,,10,,,2.91,0,1,satisfactory,high,satisfactory
10438,352115,Ipiguá,2019,5392,83,0,0,105587.01,19582.16061,0.61,15.3932,0,0,0-1 year,83,FL_U1_BCG,0,,4,,,4.82,0,1,satisfactory,high,satisfactory
10439,352115,Ipiguá,2020,5476,86,37,1,105587.01,19582.16061,0.61,15.7049,11.6279,6.7568,0-1 year,86,FL_U1_BCG,0,,2,,,2.33,0,1,satisfactory,high,satisfactory
10440,352115,Ipiguá,2021,5557,68,0,0,105587.01,19582.16061,0.61,12.2368,0,0,0-1 year,68,FL_U1_BCG,0,,3,,,4.41,0,1,satisfactory,high,satisfactory
10441,352120,Iporanga,2019,4218,45,28,2,58005.23,13751.83262,4.21,10.6686,44.4444,6.6382,0-1 year,45,FL_U1_BCG,0,,37,,,82.22,0,2,satisfactory,high,satisfactory
10442,352120,Iporanga,2020,4199,34,0,0,58005.23,13751.83262,4.21,8.0972,0,0,0-1 year,34,FL_U1_BCG,0,,5,,,14.71,0,1,satisfactory,high,satisfactory
10443,352120,Iporanga,2021,4180,60,0,0,58005.23,13751.83262,4.21,14.3541,0,0,0-1 year,60,FL_U1_BCG,0,,8,,,13.33,0,1,satisfactory,high,satisfactory
10444,352130,Ipuã,2019,16409,169,110,2,367929.654,22422.43001,0,10.2992,11.8343,6.7036,0-1 year,169,FL_U1_BCG,0,,133,,,78.7,0,2,satisfactory,high,high
10445,352130,Ipuã,2020,16604,160,108,1,367929.654,22422.43001,0,9.6362,6.25,6.5045,0-1 year,160,FL_U1_BCG,0,,35,,,21.88,0,1,satisfactory,high,high
10446,352130,Ipuã,2021,16794,177,144,3,367929.654,22422.43001,0,10.5395,16.9492,8.5745,0-1 year,177,FL_U1_BCG,0,,30,,,16.95,0,1,satisfactory,high,high
10447,352140,Iracemápolis,2019,24235,252,163,6,6940522.695,286384.2664,0,10.3982,23.8095,6.7258,0-1 year,252,FL_U1_BCG,0,,73,,,28.97,0,1,satisfactory,high,satisfactory
10448,352140,Iracemápolis,2020,24614,259,141,2,6940522.695,286384.2664,0,10.5225,7.722,5.7284,0-1 year,259,FL_U1_BCG,0,,4,,,1.54,0,1,satisfactory,high,satisfactory
10449,352140,Iracemápolis,2021,24982,234,271,1,6940522.695,286384.2664,0,9.3667,4.2735,10.8478,0-1 year,234,FL_U1_BCG,0,,9,,,3.85,0,1,satisfactory,high,satisfactory
10450,352150,Irapuã,2019,7993,74,0,0,160648.261,20098.61892,0,9.2581,0,0,0-1 year,74,FL_U1_BCG,0,,5,,,6.76,0,1,satisfactory,high,satisfactory
10451,352150,Irapuã,2020,8048,91,54,2,160648.261,20098.61892,0,11.3072,21.978,6.7097,0-1 year,91,FL_U1_BCG,0,,1,,,1.1,0,1,satisfactory,high,satisfactory
10452,352150,Irapuã,2021,8101,67,102,1,160648.261,20098.61892,0,8.2706,14.9254,12.591,0-1 year,67,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
10453,352160,Irapuru,2019,8294,66,76,3,95959.776,11569.78249,2.91,7.9576,45.4545,9.1633,0-1 year,66,FL_U1_BCG,0,,57,,,86.36,0,2,satisfactory,high,satisfactory
10454,352160,Irapuru,2020,8325,54,0,0,95959.776,11569.78249,2.91,6.4865,0,0,0-1 year,54,FL_U1_BCG,0,,19,,,35.19,0,1,satisfactory,high,satisfactory
10455,352160,Irapuru,2021,8356,58,108,1,95959.776,11569.78249,2.91,6.9411,17.2414,12.9248,0-1 year,58,FL_U1_BCG,0,,19,,,32.76,0,1,satisfactory,high,satisfactory
10456,352170,Itaberá,2019,17556,259,127,6,592345.696,33740.35635,1.62,14.7528,23.166,7.234,0-1 year,259,FL_U1_BCG,0,,109,,,42.08,0,1,satisfactory,high,satisfactory
10457,352170,Itaberá,2020,17480,235,137,5,592345.696,33740.35635,1.62,13.4439,21.2766,7.8375,0-1 year,235,FL_U1_BCG,0,,124,,,52.77,0,2,satisfactory,high,satisfactory
10458,352170,Itaberá,2021,17405,222,209,2,592345.696,33740.35635,1.62,12.755,9.009,12.008,0-1 year,222,FL_U1_BCG,0,,127,,,57.21,0,2,satisfactory,high,satisfactory
10459,352180,Itaí,2019,27125,327,189,3,700364.551,25819.89128,1.23,12.0553,9.1743,6.9677,0-1 year,327,FL_U1_BCG,0,,148,,,45.26,0,1,satisfactory,high,satisfactory
10460,352180,Itaí,2020,27382,292,223,5,700364.551,25819.89128,1.23,10.6639,17.1233,8.144,0-1 year,292,FL_U1_BCG,0,,36,,,12.33,0,1,satisfactory,high,satisfactory
10461,352180,Itaí,2021,27632,276,314,6,700364.551,25819.89128,1.23,9.9884,21.7391,11.3636,0-1 year,276,FL_U1_BCG,0,,176,,,63.77,0,2,satisfactory,high,satisfactory
10462,352190,Itajobi,2019,15262,229,138,3,612083.796,40105.08426,0.06,15.0046,13.1004,9.0421,0-1 year,229,FL_U1_BCG,0,,12,,,5.24,0,1,satisfactory,high,satisfactory
10463,352190,Itajobi,2020,15297,178,163,5,612083.796,40105.08426,0.06,11.6363,28.0899,10.6557,0-1 year,178,FL_U1_BCG,0,,8,,,4.49,0,1,satisfactory,high,satisfactory
10464,352190,Itajobi,2021,15331,182,181,2,612083.796,40105.08426,0.06,11.8714,10.989,11.8061,0-1 year,182,FL_U1_BCG,0,,2,,,1.1,0,1,satisfactory,high,satisfactory
10465,352200,Itaju,2019,3835,35,0,0,97561.568,25439.78305,0,9.1265,0,0,0-1 year,35,FL_U1_BCG,0,,40,,,114.29,1,3,satisfactory,high,satisfactory
10466,352200,Itaju,2020,3887,40,32,1,97561.568,25439.78305,0,10.2907,25,8.2326,0-1 year,40,FL_U1_BCG,0,,36,,,90,1,3,satisfactory,high,satisfactory
10467,352200,Itaju,2021,3937,44,0,0,97561.568,25439.78305,0,11.176,0,0,0-1 year,44,FL_U1_BCG,0,,32,,,72.73,0,2,satisfactory,high,satisfactory
10468,352210,Itanhaém,2019,101816,1340,947,23,2037482.194,20011.41465,1.77,13.161,17.1642,9.3011,0-1 year,1340,FL_U1_BCG,0,,2842,,,150,1,4,satisfactory,high,satisfactory
10469,352210,Itanhaém,2020,103102,1403,999,11,2037482.194,20011.41465,1.77,13.6079,7.8403,9.6894,0-1 year,1403,FL_U1_BCG,0,,3131,,,150,1,4,satisfactory,high,satisfactory
10470,352210,Itanhaém,2021,104351,1262,1340,12,2037482.194,20011.41465,1.77,12.0938,9.5087,12.8413,0-1 year,1262,FL_U1_BCG,0,,2400,,,150,1,4,satisfactory,high,satisfactory
10471,352215,Itaoca,2019,3328,39,29,1,42329.676,12719.25361,6.29,11.7188,25.641,8.7139,0-1 year,39,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
10472,352215,Itaoca,2020,3330,34,0,0,42329.676,12719.25361,6.29,10.2102,0,0,0-1 year,34,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
10473,352215,Itaoca,2021,3332,46,41,2,42329.676,12719.25361,6.29,13.8055,43.4783,12.3049,0-1 year,46,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
10474,352220,Itapecerica da Serra,2019,175693,2554,1034,36,3880078.433,22084.42245,2.51,14.5367,14.0955,5.8853,0-1 year,2554,FL_U1_BCG,0,,1206,,,47.22,0,1,satisfactory,high,satisfactory
10475,352220,Itapecerica da Serra,2020,177662,2401,1141,37,3880078.433,22084.42245,2.51,13.5144,15.4102,6.4223,0-1 year,2401,FL_U1_BCG,0,,640,,,26.66,0,1,satisfactory,high,satisfactory
10476,352220,Itapecerica da Serra,2021,179574,2245,1429,29,3880078.433,22084.42245,2.51,12.5018,12.9176,7.9577,0-1 year,2245,FL_U1_BCG,0,,280,,,12.47,0,1,satisfactory,high,satisfactory
10477,352230,Itapetininga,2019,163901,2100,1061,21,4897885.536,29883.19495,0.46,12.8126,10,6.4734,0-1 year,2100,FL_U1_BCG,0,,1857,,,88.43,0,2,satisfactory,high,satisfactory
10478,352230,Itapetininga,2020,165526,2086,1237,25,4897885.536,29883.19495,0.46,12.6022,11.9847,7.4731,0-1 year,2086,FL_U1_BCG,0,,1980,,,94.92,1,3,satisfactory,high,satisfactory
10479,352230,Itapetininga,2021,167106,1872,1620,11,4897885.536,29883.19495,0.46,11.2025,5.8761,9.6944,0-1 year,1872,FL_U1_BCG,0,,2293,,,122.49,1,4,satisfactory,high,satisfactory
10480,352240,Itapeva,2019,94354,1463,687,21,2908262.01,30822.8799,1.36,15.5054,14.3541,7.2811,0-1 year,1463,FL_U1_BCG,0,,2866,,,150,1,4,satisfactory,high,satisfactory
10481,352240,Itapeva,2020,94804,1374,744,14,2908262.01,30822.8799,1.36,14.4931,10.1892,7.8478,0-1 year,1374,FL_U1_BCG,0,,2073,,,150,1,4,satisfactory,high,satisfactory
10482,352240,Itapeva,2021,95241,1303,1109,20,2908262.01,30822.8799,1.36,13.6811,15.3492,11.6441,0-1 year,1303,FL_U1_BCG,0,,1586,,,121.72,1,4,satisfactory,high,satisfactory
10483,352250,Itapevi,2019,237700,4001,1194,59,12045014.65,50673.17899,1.21,16.8321,14.7463,5.0231,0-1 year,4001,FL_U1_BCG,0,,5395,,,134.84,1,4,satisfactory,high,satisfactory
10484,352250,Itapevi,2020,240961,3777,1456,36,12045014.65,50673.17899,1.21,15.6747,9.5314,6.0425,0-1 year,3777,FL_U1_BCG,0,,4374,,,115.81,1,3,satisfactory,high,satisfactory
10485,352250,Itapevi,2021,244131,3591,1731,43,12045014.65,50673.17899,1.21,14.7093,11.9744,7.0905,0-1 year,3591,FL_U1_BCG,0,,4247,,,118.27,1,3,satisfactory,high,satisfactory
10486,352260,Itapira,2019,74773,821,629,6,3821485.311,51107.82383,0,10.9799,7.3082,8.4121,0-1 year,821,FL_U1_BCG,0,,852,,,103.78,1,3,satisfactory,high,high
10487,352260,Itapira,2020,75234,701,630,7,3821485.311,51107.82383,0,9.3176,9.9857,8.3739,0-1 year,701,FL_U1_BCG,0,,667,,,95.15,1,3,satisfactory,high,high
10488,352260,Itapira,2021,75683,709,970,2,3821485.311,51107.82383,0,9.368,2.8209,12.8166,0-1 year,709,FL_U1_BCG,0,,726,,,102.4,1,3,satisfactory,high,high
10489,352265,Itapirapuã Paulista,2019,4241,74,33,2,45808.964,10801.45343,1.81,17.4487,27.027,7.7812,0-1 year,74,FL_U1_BCG,0,,36,,,48.65,0,1,satisfactory,high,satisfactory
10490,352265,Itapirapuã Paulista,2020,4268,75,29,2,45808.964,10801.45343,1.81,17.5726,26.6667,6.7948,0-1 year,75,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
10491,352265,Itapirapuã Paulista,2021,4294,57,21,3,45808.964,10801.45343,1.81,13.2743,52.6316,4.8905,0-1 year,57,FL_U1_BCG,0,,2,,,3.51,0,1,satisfactory,high,satisfactory
10492,352270,Itápolis,2019,43120,467,402,6,1315054.108,30497.54425,0.07,10.8302,12.848,9.3228,0-1 year,467,FL_U1_BCG,0,,384,,,82.23,0,2,satisfactory,high,satisfactory
10493,352270,Itápolis,2020,43331,415,377,4,1315054.108,30497.54425,0.07,9.5774,9.6386,8.7005,0-1 year,415,FL_U1_BCG,0,,341,,,82.17,0,2,satisfactory,high,satisfactory
10494,352270,Itápolis,2021,43536,409,490,4,1315054.108,30497.54425,0.07,9.3945,9.78,11.2551,0-1 year,409,FL_U1_BCG,0,,56,,,13.69,0,1,satisfactory,high,satisfactory
10495,352280,Itaporanga,2019,15149,177,122,1,297303.906,19625.3156,0.33,11.6839,5.6497,8.0533,0-1 year,177,FL_U1_BCG,0,,130,,,73.45,0,2,satisfactory,high,satisfactory
10496,352280,Itaporanga,2020,15173,174,0,0,297303.906,19625.3156,0.33,11.4677,0,0,0-1 year,174,FL_U1_BCG,0,,125,,,71.84,0,2,satisfactory,high,satisfactory
10497,352280,Itaporanga,2021,15197,151,0,0,297303.906,19625.3156,0.33,9.9362,0,0,0-1 year,151,FL_U1_BCG,0,,151,,,100,1,3,satisfactory,high,satisfactory
10498,352290,Itapuí,2019,13992,193,109,4,612606.141,43782.60013,0.13,13.7936,20.7254,7.7902,0-1 year,193,FL_U1_BCG,0,,189,,,97.93,1,3,satisfactory,high,satisfactory
10499,352290,Itapuí,2020,14147,189,93,2,612606.141,43782.60013,0.13,13.3597,10.582,6.5738,0-1 year,189,FL_U1_BCG,0,,214,,,113.23,1,3,satisfactory,high,satisfactory
10500,352290,Itapuí,2021,14297,218,158,2,612606.141,43782.60013,0.13,15.248,9.1743,11.0513,0-1 year,218,FL_U1_BCG,0,,193,,,88.53,0,2,satisfactory,high,satisfactory
10501,352300,Itapura,2019,4906,49,0,0,95421.391,19449.93702,1.13,9.9878,0,0,0-1 year,49,FL_U1_BCG,0,,11,,,22.45,0,1,satisfactory,high,satisfactory
10502,352300,Itapura,2020,4951,43,0,0,95421.391,19449.93702,1.13,8.6851,0,0,0-1 year,43,FL_U1_BCG,0,,7,,,16.28,0,1,satisfactory,high,satisfactory
10503,352300,Itapura,2021,4994,28,0,0,95421.391,19449.93702,1.13,5.6067,0,0,0-1 year,28,FL_U1_BCG,0,,1,,,3.57,0,1,satisfactory,high,satisfactory
10504,352310,Itaquaquecetuba,2019,370821,5867,1875,69,7658778.343,20653.57232,1.27,15.8216,11.7607,5.0563,0-1 year,5867,FL_U1_BCG,0,,3944,,,67.22,0,2,satisfactory,high,satisfactory
10505,352310,Itaquaquecetuba,2020,375011,5568,2155,73,7658778.343,20653.57232,1.27,14.8476,13.1106,5.7465,0-1 year,5568,FL_U1_BCG,0,,3445,,,61.87,0,2,satisfactory,high,satisfactory
10506,352310,Itaquaquecetuba,2021,379082,5056,2584,69,7658778.343,20653.57232,1.27,13.3375,13.6472,6.8165,0-1 year,5056,FL_U1_BCG,0,,3051,,,60.34,0,2,satisfactory,high,satisfactory
10507,352320,Itararé,2019,50503,621,384,8,944884.729,18709.47724,0.63,12.2963,12.8824,7.6035,0-1 year,621,FL_U1_BCG,0,,582,,,93.72,1,3,satisfactory,high,satisfactory
10508,352320,Itararé,2020,50642,569,388,6,944884.729,18709.47724,0.63,11.2357,10.5448,7.6616,0-1 year,569,FL_U1_BCG,0,,591,,,103.87,1,3,satisfactory,high,satisfactory
10509,352320,Itararé,2021,50778,565,615,5,944884.729,18709.47724,0.63,11.1269,8.8496,12.1115,0-1 year,565,FL_U1_BCG,0,,472,,,83.54,0,2,satisfactory,high,satisfactory
10510,352330,Itariri,2019,17436,159,96,2,326896.328,18748.35559,4.1,9.1191,12.5786,5.5058,0-1 year,159,FL_U1_BCG,0,,100,,,62.89,0,2,satisfactory,high,satisfactory
10511,352330,Itariri,2020,17598,161,115,2,326896.328,18748.35559,4.1,9.1488,12.4224,6.5348,0-1 year,161,FL_U1_BCG,0,,9,,,5.59,0,1,satisfactory,high,satisfactory
10512,352330,Itariri,2021,17754,161,143,1,326896.328,18748.35559,4.1,9.0684,6.2112,8.0545,0-1 year,161,FL_U1_BCG,0,,4,,,2.48,0,1,satisfactory,high,satisfactory
10513,352340,Itatiba,2019,120858,1418,726,20,6371895.416,52722.16499,0.82,11.7328,14.1044,6.007,0-1 year,1418,FL_U1_BCG,0,,1345,,,94.85,1,3,satisfactory,high,high
10514,352340,Itatiba,2020,122581,1348,793,19,6371895.416,52722.16499,0.82,10.9968,14.095,6.4692,0-1 year,1348,FL_U1_BCG,0,,1541,,,114.32,1,3,satisfactory,high,high
10515,352340,Itatiba,2021,124254,1326,1125,21,6371895.416,52722.16499,0.82,10.6717,15.8371,9.054,0-1 year,1326,FL_U1_BCG,0,,1099,,,82.88,0,2,satisfactory,high,high
10516,352350,Itatinga,2019,20697,264,124,2,401313.278,19389.92501,0.06,12.7555,7.5758,5.9912,0-1 year,264,FL_U1_BCG,0,,166,,,62.88,0,2,satisfactory,high,satisfactory
10517,352350,Itatinga,2020,20921,237,129,3,401313.278,19389.92501,0.06,11.3283,12.6582,6.1661,0-1 year,237,FL_U1_BCG,0,,80,,,33.76,0,1,satisfactory,high,satisfactory
10518,352350,Itatinga,2021,21139,254,176,4,401313.278,19389.92501,0.06,12.0157,15.748,8.3258,0-1 year,254,FL_U1_BCG,0,,106,,,41.73,0,1,satisfactory,high,satisfactory
10519,352360,Itirapina,2019,18157,161,127,5,716912.072,39484.0597,0.79,8.8671,31.0559,6.9945,0-1 year,161,FL_U1_BCG,0,,22,,,13.66,0,1,satisfactory,high,satisfactory
10520,352360,Itirapina,2020,18387,159,103,1,716912.072,39484.0597,0.79,8.6474,6.2893,5.6018,0-1 year,159,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
10521,352360,Itirapina,2021,18610,158,125,1,716912.072,39484.0597,0.79,8.4901,6.3291,6.7168,0-1 year,158,FL_U1_BCG,0,,8,,,5.06,0,1,satisfactory,high,satisfactory
10522,352370,Itirapuã,2019,6499,74,0,0,103238.404,15885.27527,0.36,11.3864,0,0,0-1 year,74,FL_U1_BCG,0,,80,,,108.11,1,3,satisfactory,high,satisfactory
10523,352370,Itirapuã,2020,6543,71,0,0,103238.404,15885.27527,0.36,10.8513,0,0,0-1 year,71,FL_U1_BCG,0,,74,,,104.23,1,3,satisfactory,high,satisfactory
10524,352370,Itirapuã,2021,6587,77,42,2,103238.404,15885.27527,0.36,11.6897,25.974,6.3762,0-1 year,77,FL_U1_BCG,0,,77,,,100,1,3,satisfactory,high,satisfactory
10525,352380,Itobi,2019,7841,85,0,0,138487.868,17662.01607,0.15,10.8405,0,0,0-1 year,85,FL_U1_BCG,0,,87,,,102.35,1,3,satisfactory,high,satisfactory
10526,352380,Itobi,2020,7852,95,53,1,138487.868,17662.01607,0.15,12.0988,10.5263,6.7499,0-1 year,95,FL_U1_BCG,0,,47,,,49.47,0,1,satisfactory,high,satisfactory
10527,352380,Itobi,2021,7862,81,0,0,138487.868,17662.01607,0.15,10.3027,0,0,0-1 year,81,FL_U1_BCG,0,,62,,,76.54,0,2,satisfactory,high,satisfactory
10528,352390,Itu,2019,173939,2248,1126,23,8242038.385,47384.64855,0.18,12.9241,10.2313,6.4735,0-1 year,2248,FL_U1_BCG,0,,658,,,29.27,0,1,satisfactory,high,high
10529,352390,Itu,2020,175568,2245,1260,21,8242038.385,47384.64855,0.18,12.7871,9.3541,7.1767,0-1 year,2245,FL_U1_BCG,0,,391,,,17.42,0,1,satisfactory,high,high
10530,352390,Itu,2021,177150,2128,1629,24,8242038.385,47384.64855,0.18,12.0124,11.2782,9.1956,0-1 year,2128,FL_U1_BCG,0,,312,,,14.66,0,1,satisfactory,high,high
10531,352400,Itupeva,2019,61252,869,278,17,7382285.334,120523.172,1.16,14.1873,19.5627,4.5386,0-1 year,869,FL_U1_BCG,0,,860,,,98.96,1,3,satisfactory,high,high
10532,352400,Itupeva,2020,62813,842,341,11,7382285.334,120523.172,1.16,13.4049,13.0641,5.4288,0-1 year,842,FL_U1_BCG,0,,548,,,65.08,0,2,satisfactory,high,high
10533,352400,Itupeva,2021,64330,845,420,7,7382285.334,120523.172,1.16,13.1354,8.284,6.5288,0-1 year,845,FL_U1_BCG,0,,342,,,40.47,0,1,satisfactory,high,high
